15M          Fifteen minutes
LRS          Lease record system
LRS          Line repeater station
LRSS         Long range switching studies
LSA          Local security administrator
LSA          Local subaccount
LSB          Lower side band
LSBS         Location specific bypass system
LSDB         Listing service data base
LSDF         Local switching demand and facility data base system
LSD&F        Local switching demand & facility data base system
LSDN         Local switched digital network
LSEC         Loss of sec (C/I channel code)
LSE          Line and station transfer order establishment
LS&E         Local service and equipment
LSHF         Message LAN shelf
L            Shift preference (if any) for this work to be performed.
LSI          Large-scale integrated circuitry
LSL          Loss of signal level (C/I channel code)
LS           Local service INTER/TRA blocal 1-26
LS           Loop start signaling
LSM          Load synchronization mechanization
LSM          Local switching module
LSN          Logical session number
LSO          Local service office
LSO          Local storage option-ims (IBM)
LSRP         Local switching replacement planning
LSRP         Local switching replacement planning system
LSSGR        Lata switching systems generic requirements
LSSI         Local special service inventory
LSS          Lata switching systems
LSS          Listing services system
LSS          Listing service system
LSS          Loop switching system
LSSR         Local special service results
LSSU         Link state signal unit (SS7)
LSSU         Link status signal unit
LST          Line and station transfer
LSUE         Lsu error condition (C/I channel code)
LSU          Line switch unit
LSU          Local storage unit
LSU          Loss of signal level of u interface (C/I channel code)
LSV          Latch switch verification
LSV          Line status verifier
LSW          Line and station transfer withdrawal
LTAB         Line test access bus
LTB          Last trunk busy
LTC          Line trunk controler
LTC          Local test cabinet
LTD          Local test desk
LTD          Local test desk (#16
LTD          Long term disability
LTD          Lt disable (C/I channel code)
LTERM        Logical terminal-ims (IBM)
LTF          Light terminal frame
LTF          Lightwave terminal frame
LTF          Lightwave terminating frame
LTF          Line trunk frame
LTG          Line translation group
LTG          Line trunk group
LTI          Loop termination identifier
LT           Lata tandem
LT           Line termination
LT           Local terminal
LT           Long distance terminal trunk INTER/TRA blocal 1-26
LTMA         Lightwave terminal multiplex assembly
LTMA         Lightwave terminating multiplexing assembly
LTN          List telephone numbers
LTOP         Long term disability plan
LTP          Line and trunk peripherals
LTP          Local test port
LTP          Loop technology planning
LTS          Loss test set
LT-S         Lt on s bus
LT-T         Lt on t interface
LTUC         Ltu control
LTU          Line trunk unit
LU2          Line unit model 2
LU 6.2       Protocol for appc
LUA          Link up america tracking
LUCHBD       Line unit channel board
LUCOMC       Line unit common control
LUHLSC       Line unit high level service circuit
LUIF         Living unit interface file
LU           Line unit
LUM          Line utilization monitor-ims (BMC)
LUPEX        Line unit path exerciser
LURR         Large user reproduced records system
LVL1ERR      Level 1 protocol error.
LVL2ERR      Level 2 protocol error.
LVL3ERR      Level 3 protocol error.
LVM          Line verification module
LV           Sdlv
LWC          Leave word calling
LW-SSS       Lightwave system support services by weco
LX 2         Local originating
LX 2         Local terminating
LXE          Lightguide express entry
LZ           Dedicated facility-service code for LATA access
M5           Five-minute
MA02         Status requested
MA03         Hourly report of system circuits and units in trouble
MA04         Reports condition of system - 1AESS maintenance
MA05         Maintenance interrupt count for last hour - 1AESS maintenance
MA06         Scanners
MA07         Successful switch of duplicated unit (program store etc.) - 1AESS
MA08         Excessive error rate of named unit - 1AESS maintenance
MA09         Power should not be removed from named unit - 1AESS maintenance
MA10         Ok to remove paper - 1AESS maintenance
MA11         Power manually removed from unit - 1AESS maintenance
MA12         Power restored to unit - 1AESS maintenance
MA13         Indicates central control active - 1AESS maintenance
MA15         Hourly report of # of times interrupt recovery program acted - ma
MA17         Centrex data link power removed - 1AESS maintenance
MA21         Reports action taken on mac-rex command -1AESS maintenance msg
MA23         4 minute report- emergency action phase triggers are inhibited
MAB          Metallic access bus
MACBS        Multi-access cable billing system
MA           Cellular access trunk 2-way INTER/TRA blocal 1-26
MAC          Machine administration center
MAC          Major accounting center
MAC          Mechanized assignment control (BTL)
MAC          Missed appointment code
MAC          Monitor analysis & control of fa standard values
MACS(DS)     Major apparatus control system (dist. svcs)
MACS         Major apparatus and cable system
MACS         Mechanized analysis of customer systems
MADN         Multiple access directory numbers
MADPE        Address parity error
MAEC         Media access error counter
MAILLOG      Manager electronic mail logging system
MAI          Multiple access interface (univac)
MAINT        Maintenance
MAINT        Maintenance handler
MAL          Maintenance action limits
MAL          Manual assignment list
MALRU        Mechanized automatic line record update
MALT         Maintence transmission action limit table
MA           Maintenance administrator
MAMA         Mechanized automatic message accounting
MAMA         Mobile automatic message accounting
MA           Multiple access (primary)
MAN          Manual
MAN          Metropolitan area network
MAN          Miscellaneous account number
MAPCI        Map command interpreter (NTI)
MAP          Maintenance and administration position
MAP          Maintenance and administrative position (NTI)
MAP          Management assessment program
MAP          Manual assignment parameters
MAP          Manufacturing automation protocol
MAP          Mobile application part
MAPPER       Maintain and prepare executive reports
MAPS         Mechanized accounts payable system
MAPS         Modeling and planning system (BTL)
MAPSS        Maintenance & analysis plan for special services
MAPSS        Maintenance and analysis plan for special services
MAQ          Manual assignment file inquiry
MARC/CAPS    Market analysis of personnel and customer analysis profile
MARCH        A computer system
MARC         Market analysis of revenue and customers system
MARC         Market analysis of revenues and customers
MARG         Margin Parameter
MARK IV      General purpose information storage and retrieval system
MARK         Mechnized Assiment Record Keeping System (GTE COSMOS)
MAR          Market analysis report (BTL)
MAR          Microprogram address register
MAR          Multi-alternate route
MARS         Mechanized automative repair system
MARS         Multiple access repair system
MASB         Mas bus
MASC         Mas controller
MAS          Interfacesmessage analysis sampling plan
MAS          Main store
MAS          Mass announcement system (900 service)
MAS          Memory administration system
MASM         Mas memory
MAST         Mail analysis and sales tracking
MATFAP       Metropolitan area transmission facility analysis program
MAT          Manual assistance tag
MAT          Metropolitan area trunk
M/ATR        Maritime/aviation tracking reports
MATR         Maritime/aviation tracking system
MATR         Modified answering time recorder
MATS         Marketing access tracking system
MATS         Mechanized analysis of traffic studies system
MAVIS        McDonnel Douglas automatic voice information system (model 1018t)
MAX          Maximum
MAX          Maximum messages
MAX          Maximum percentage value of entity fill or maximum ccs value
MAXS         Metallic automatic cross-connected system
MAY          Modify an assembly
MB           Make busy
MB           Make-busy or made-busy
MBO          Management by objectives
MBP          Metallic bypass pair
MBPS         Megabits per second
MB/S         Megabits per second.
MBX          Measured branch exchange
MBYTE        Megabyte
MCA          Misrouted centralized automatic message accounting (MDII)
MCAS         Material cable administrative system
MCB          Message control bank (sperry)
MCCI         Mechanized customer contact index
MCC          Maintenance control center
MCC          Manual camera control
MCC          Master control center
MCC          Minicuster controller
MCCRAP       Master control center trouble report analysis plan
MCCS         Mechanized calling card service
MCE          Establish a maintenance change ticket
MCHB         Maintenance channel buffer
MCH          Maintenance channel
MCH          Manually change hunt
MCIAS        Multi-channel intelligent announcement system
MCIAS        Multi-channel intercept announcement system
MCI          Malicious call identification (i.251 g)
MCI          Microwave communications incorporated
MCINT        Mate control interrupt
MCL          Maintenance change list
MC           Machine congestion
MC           Maintenance center
MC           Maintenance circuit
MC           Maintenance connector
MC           Marker class of service
MC           Memory controller
MCN          Machine congestion level # where MCI=machine congestion level
MCN          Master control number
MCN          Metropolitan campus network
MCOS         Multiplexer out of synchronization
MCP          Mechanized credit provisioning system
MCR          Establish a maintenance change repair
MCR          Mass call register
MCS          Master cpu subsystem
MCS          Meeting communications service
MCS          Multiple console support
MCTAP        Mechanized cable transfer administration plan
MCTRAP       Mechanized customer trouble report analysis plan
MCTSI        Module controller/time slot interchange
MCTSI        Module controller/time-slot interchange unit
MCW          Maintenance change ticket withdrawal
MDACS        Modular digital access control system
MDC          Manually disconnect a working circuit
MDC          Marker distributor control
MDC          Materials distribution center
MDC          Meridian digital centrex
MDCMES       Management development center mechanized enrollment system
MDF          Main distributing frame
MDF          Main distribution frame
MDII         Machine detected interoffice irregularities
MDII         Machine-detected interoffice irregularity
MDIS         Marketing data interface system
MDLIE        DLI interface error
MDOG         Mechanized disbursement of gasoline
MDP          SS7 fe message distribution protocol
MDR          Mechanized draft reconciliation
MDR          Message detail record
MD/RS        Mechanized denial/restoral system
MDS          Message design systems
MD           SS7fe message distributor
MDT          Management development/training
MDU          Marker decoder unit
MDX          Modular digital exchange
MEANS        Model for economic analysis of network service
MEAS         Measure
MEASMT       Measurement
ME & ASSM    Management employment & assessment
MECAB        Multi exchange carrier access billing
MECA         Mechanization of engineering & circuit provisioning
MECCRRF      Mechanized credit reference system
MECH         More efficient call handling
MEC          Maintenance engineer center
MEC          Manually establish a circuit
MEC          Mobile equipment console
MECOD        Multiple exchange carrier ordering and design
ME CORP      Corporation management employment
MED          Medium threshold
MED          Multipoint end-link data
MEDPLUS      Medicare part b reimbursement payments
MEDS         Mechanized expense distribution system
MEF          Master employee file
MELD         Mechanized engineering and layout for distributing frames
ME           Management employment
MEP          Medical expense plan
MERITS       Measurement of exchange records integrity through sampling
MERP         Mechanization of estimate results plan
MERS         Most economic route selection
MERT         Master employee record tape
MESA         Mechanized edits of street address
MESS         Message
METASX       Metallic access
MET          Multibuton electronic telephone
MET          Multibutton electronic telephone
MFAS         Mechanized forecasting and analysis system
MFC          Master file directory (VMS-catalog of UFDS)
MFC          Modular feature construction
MFC          Multiple frame operation control (IOS)
MFENET       Magnetic fusion energy network
MFFAN        Miscellaneous frame (CM2 offices only)
MFJ          Modification of final judgement
MFJ          Modification of final judgment
MFJ          Modified final judgment (consent decree)
MF           Mainboard firmware (IOS)
MF           Multi frame
MF           Multi frequency
MF           Multifrequency
MF           Multiplexer frame
MFR          Discmanufacture discontinued
MFR          Mechanized force report
MFR          Multi-frequency receivers
MFRS         Management force reporting system
MFS          Message formatting service-ims (IBM)
MFT          Metallic facility terminal
MFT          Multiprogramming with a fixed number of tasks
MGBAF        Maintenance group blocking acknowledgment failure
MGB          Main ground bus
MGB          Master ground bar
MG           Marker group
MG           Marker group number
MG           Mastergroup
MGR          Manager
MGSC         Message service customer counts
MGSG         Message service multi-line hunt
MGT          Mastergroup translator
MGUAF        Maintenance group unblocking acknowledgment failure
MHDC         Moving head disk control
MHDDC        Moving head disk data/clock
MHD          Moving head disk
MHD          Moving head disk drive(s) used in the am.
MH           Modified huffman code (fax)
MHS          Message handling service
MHS          Message handling system
MHZ          Megahertz
MIAS         Marketing information analysis system
MICA         Mechanized intercompany contract administration
MICC         Minicluster controller
MICE         Modular integrated communications environment
MICI         Mechanized independent company input
MICR         Minimal input customer records
MICRO/TEL    Micro/tel force analyzer
MICS         BTL maintenance space inventory control system
MICU         Message interface and clock unit
MICU         Message interface clock unit
MID          Master interim design
MIFM         Mechanized installation force management
MIG          Mechanized interval guide system
MIIS         Management inventory information system
MI           Machine interface
MI           Message interface  on the
MIMIC        Mts-wats intrastate model for incremental cost
MIN          Minimum
MIN          Minimum percentage value of entity fill or minimum CCS value
MIN          Mobile identification number
MINX         Multimedia information network exchange
MIOIO        I/O invalid operation error
MIOLE        I/O lock error
MIOPE        I/O bus parity error
MIOTO        I/O timer time out error
MIOUE        I/O unlock error
MIP          Microprocessor interface port
MIPP         Management surplus income protection plan
MIPS         Million instructions per second
MIRA         Maintenance input request administrator .
MIRA         Mark iv information retrieval aid
MIR          Micro-instruction register
MISCF        Miscellaneous frame
MIS/C        Management information system/computer
MISC         Miscellaneous
MIS          Management information system
MIS          Mechanized intercepting system
MISS         Management information staffing system
MI           Swbt minimal input
MITS         Microcomputer interactive test system
MIU          Metallic interdace unit
MIZAR        Management job evaluation
MJEC         Multiple job function codes
MJF          Modified final judgement
MJU          Multipoint junction unit
MKBUSY       Make busy.
MKR          Marker
MKTG         Marketing
MLAC         Manual loop assignment center
M            Latest date that this ticket can be loaded.
MLCD         Multi-line call detail
MLC          Miniline card
MLC          Monitor level code
M LETTER     Methods letter
MLHG         Multi-line hung group
MLHG         Multiline hunt group
MLH          Multiline hunt
MLIIBLNG     Microlink II billing
MLI          Message link interface
ML           Matching loss
MLNC         Failure to match and no circuit
MLPA         Modifiable link pack area (IBM)
MLSS         Machine load service summary
MLT-1        Mechanized loop testing system-1
MLT-2        Mechanized loop testing system-2
MLT-2        Mechanized loop testing - the second generation of equipment
MLT          Mechanized loop test
MLT          Mechanized loop testing system
M            Maintenance
MMA          Multi-module access unit (Univac)
MMC          Manually modify a circuit
MMC          Minicomputer maintenance center
MMEME        Memory system error
MMG          Minicomputer maintenance group
MMGT         Multimastergroup translator
MMI          Man-machine interface
M            Minutes
MML          Man machine language
MMM          Message mile minute
MMOC         Minicomputer maintenance operation center
MMOC         Minicomputer maintenance operations center
MMOCS        Minicomputer maintenance and operations center system
M-MONEY      Maintenance money
MMP          Module message processor
MMPP         Mechanized market programming procedures (BTL)
MMRCS        Minicomputer maintenance and repair center system
MMS43        Modified monitoring state 43 code
MMS          Main memory status
MMS          Memory management system
MMS/SSII     Marketing measurement system/support system II
MMSU         Modular metallic service unit
MMT          Multiple message threshold
M            M(transmit) signal lead
MMU          Memory management unit (IOS)
MMX          Mastergroup multiplex
MN02         List of circuits in trouble in memory
MNP          Microcom networking protocol
MOC          Machine operations center
MOC          Maintenance and operations console
MOC          Maintenance operation console
MOC          Ministery of communication
MOC          Moe order completion
MOD1         Miscellaneous per SM measurements (MOD1)
MODCOES      Modified central office cost
MODEM        Modulator-demodulator
MOD          Ministery of defense
MOD          Modifier
MOD          Modulated
MOD          Module number
MOE          Mass oe transfers
MOF          Mass oe frame transfer listings
MOG          Minicomputer operations group
MOI          Maintenance and operation interface
MOI          Mizar order inquiry
M O          Master office
MOMS         Missouri marketing system
MON          Monitor
MON          Monitor channel (i.e. IOM2)
MON          Mouth
MOOSA        Mechanized out of service adjustment system
MOOSE        Macs online organization system entry (distribution services)
MOS          Maintenance and operations subsystem
MOS          Metal oxide semiconductor
MOSOP        Mechanized operator services occupational payroll
MOSTED       Motor vehicle/special tools expense distribution
MOST         Managing operations systems in transition
MOT&R        Master office test and release circuit
MOTS         Mechanized operations tracking system
MOU-AS       The annual study module of DRP/MOU
MOU-DA       The data accumulation module of DRP/MOU
MOU          Minutes of use
MOVE         Move remote line Concentrating module
MOW          Moe order withdrawal
MPAP         Management potential appraisal plan
MPCG         Message processing clerical guide
MPCH         Main parallel channel
MPC          Marker pulse conversion
MPC          Messages per customer
MPC          Mp command
MPDBCOAR     MPDB-central office equipment and repair services
MPDB-OS      Outside plant-pair gain
MPDBSRVC     Office supplies computers and other services
MPDU         Message protocpl data units (x.411)
MPES         Message processing entry system
MPFRS        Mechanized project force requirement system
MPI          Mechanized project impact system
MPK          Modify work package
MPLR         Mechanized plant location records system
MPLUM        Mechanized plant utilization management
MP           Maintenance POSITION
MP           Message processing program
M&P          Methods and procedures
MP           Microprocessor
MP           Multi-processor
MPN          Master work package number
MPOOS        Modem pool line out of service.
MPOW         Multiple purpose operator workstation
MPPD         Multi-purpose peripheral device
MPRIN        Mate peripheral interrupt
MPS          Mechanized pension system
MPS          Misplaced start pulse
MPS          Misplaced start pulse (MDII)
MPT          Message transfer part
MPTS         Market planning and tracking system
MQH          Marker queue high
MQL          Marker queue low
MQ           Metalic customized-service code for LATA access
MRAA         Meter reading access arrangement
MRCS         Modification request control system
MRDB         Memory resident data base
MRDYT        Ready time out
MRFA         Mechanized repair force administration
MRFF         Master reference frequency frame
MRFIS        Mechanized request for information systems
MRF          Maintenance reset function
MRF          Message refusal received (outgoing)
MRF          Message retention file
MR/IBPS      Management report/integrated budget and planning system
MR           Maintenance request (BTL)
MR           Measured rate
MR           Message rate (BSP)
MR           Message register
MR           Message register COSMOS command
MR           Modified read (relative element address designate
MR           Monitor read (flow control bit in IOM2)
MRO          Message register option
MRP          Mechanized revenue planning system
MRPS         Mobile radio priority system
MRR          Mandatory review reporting
MRSELS       Microwave radio & satellite eng. & lic
MRS          Management reporting system (TNDS)
MRTI         Message-rate treatment index  (AMA NTI)
MRTS         Mechanized real time tracking system
MRTTA        Message recording trunk trouble analysis
MRWPE        Read or write parity error
MS6E         Message switching #6 equipment
MS7E         Message switching #7 equipment
MSAG         Master street address guide
MSA          Management science america
MSC          Media stimulated calling
MSC          Minimum service charge
MSCP         Mass storage control protocol
MSCS         Management scheduling and control system
MSCU         Message switch controller unit
MSCU         Message switch control unit
MSDS         Material safety data sheet system
MSFDB        Market share forecast data base
MSGBUF       Message buffer
MSGCLS       Message class
MSGLOCK      Message lock
MSGNO        Message number
MSGP         Microcomputer support group programming
MSGS         Message switch
MSKMR        Mate reset
MSK          Output a transaction mask
MS           Machine screw (BSP)
M S          Main station
MS           Maintenance state
M S          Mark sense
MS           Measured service
MS           Mechanized scheduling
MS           Memory subsystem
MS           Menue software (sipb.exe)
MS           Microseconds
MSM          Multi-state marketing system
MSMTCH       Mismatch.
MSN          Multiple subscriber number (i.251 b)
MSORS        Mechanized sales office record system (BTL)
MSP          Management salary plan
MSP          Metropolitan service plan
MSPR         Message switch peripheral unit
MSR/DIS      Mechanized service record/disability subsystem
MSR          Marketing surveys and reports
MSR          Mechanized sales results system (mbt directory sales)
MSR          Mechanized service record
MSR          Mizar status report
MSS          Mass storage system
MSS          Mss is a dialup for... database of 1800 numbers...
MSSS         Mechanized supply stock system
M-STARS      Measurement and statistics tracking and reporting system
MSTIC        Mechanized standard time increments (we/eplans)
MSTS         Measured service tracking system
MSUCOM       Metallic service unit common
MSU          Message signal unit
MSU          Metallic service unit
MSU          Msg. signal unit (SS7)
MSUS         Measured service usage studies
MSUSM        Subunit select mismatch
MTAE         Message transfer agent entity (x.400)
MTA          Message transfer agent (x.400)
MTB          Magnetic tape billing
MTB          Metallic test bus
MTCE         Maintenance (default).
MTCE         Maintenance parameters
MTC          Facs maintenance transaction
MTD          Magnetic tape drive
MTD          Mutilated digit
MTD          Mutilated digit (MDII)
MTECS        Iimechanized toll error correction system phase ii
MTECS        Mechanized toll error correction system
MTEL         Main telephone
MTF          Master test frame
MTH          Magnetic tape handler
MTIBAX       Metallic test interconnect bus access
MTIB         Metallic test interconnect bus
MTINT        Miscellaneous timer interrupt
MTL          Maximum termination liability
MTLR         Mechanized trouble log report
MTLT         Maintenance transmission action limit table
MT           Master record tape unit number or tape drive to write
MTM          Maintenance trunk module (NTI)
MTO          Master terminal operator
MTP          Management transitional program
MTP          Message transfer part.
MTP          Message transfer part (SS7: q.701-q.710)
MTP          Message transfer protocol (x.411: p1)
MTR          Manually test a response
MTR          Mechanized time reporting
MTRS/FCC     Management time reporting system/fcc report
MTRS         Marketing or management time reporting system
MTRS         Mechanized training records system
MTR          Tape drive to read
MTRT         Mate ready time out
MTSC         MTS CMOS    (512 incoming channels)
MTSDB        Message telecommunications services data base
MTSI         Msg telecommunications ser price index
MTSL         MTS large  (1024 incoming channels)
MTS          Manual test system
MTS          Memory time swich     peb2040
MTS          Message telecommunications service
MTS          Message telecommunications system
MTS          Message telephone service
MTS          Message teleprocessing system
MTS          Message toll service
MTS          Mobile telephone service
MTSO         Mobile telephone switching office
MTSS         MTS small   (256 incoming channels)
MTTP         Master trunk test panel
MTU          Magnetic tape unit parameters
MTU          Maintenence termination unit
MTU          Media tech unit
MT           Wired music INTER/TRA blocal 1-26
MTW          Tape drive to write
MTX          Mobile telephone exchange
MUC          Material usage code
MULDEM       Multiplexer-demultiplexer
MULT         Multiple
MU           Maintenance usage
MU           Message unit
MUM          Measured unit message
MUNICH       Multichannel (32) network interface controller
MUPH         Multiple position hunt
MUSAC        Multipoint switching and conferencing unit
MUSIC        Modeling for usage sensitive incremental costs
MUT          Miniaturized universal trunk frame
MUT          Multi-unit-test
MUX          Multiplex
MUX          Multiplexer
MVAS         Motor vehicle accident summary
MVCCW        Commstar ii call waiting USOC
MVP          Multiline variety package
MVS/MODS     TSO display operator messages from programs running under
MVS          Multiple virtual storage
MVS          Multiple virtual storage operating
MVS/SPA      Multiple virtual storages/system product assist operating
MVS/SP       Multiple virtual storages/system product operating system
MVS/XA       Mutliple virtual storage/extended architecture
MVTC         Motor vehicle type code
MVT          Multiprogramming with a variable number of tasks
MWCP         Mechanized wire centering program (BTL)
MW           (ger) service word
MWI          Message waiting indicator
MW           Mandatory work
M/W          Microwave
MW           Multiwink
MWPER        Write protect error
MX           Monitor transmit (flow control bit in IOM2)
MXU          Multiplexer unit
MXU          Multiplex units
NAAP         New affirmative action program
NAB          Network analysis bureau
NACK         No ground acknowledgment received on a ground start private facility (FX) trunk
NAC          Network administration center
NAC          Network application center
NAC          Non-area code
NA           CSACC link (EPSCS) INTER/TRA blocal 1-26
NAFMAP       Network administration force management and productivity
NAG          Network architecture group
NAI          Telephone number assignment inquiry
NAK          Negative acknowledge
NAM          Number assignment module
NAND         Not-and gate
NA           Next address
NA           Normal alignment
NANP         North american numbering plan
NAP          Network access pricing
NAP          Network analysis program (BTL)
NAR          Nac assignment review
NARS         National yellow pages services accounts receivable system
NAS/CARS     Network analysis system/central analysis report system
NAS          Network analysis system
NAS          Numerical and atmospheric sciences network
NASS         Network adminstration support system
NAS/SRS      Network analysis system/subscriber recording system (MBT)
NATL         National code (NTI)
NAUG         Network administration user group
NB           Narrow band
NBSY         Number of busy (trunks) (NTI)
NCA          No circuit announcement
NCAT         Network cost analysis tool
NCCF         Network communication control facility (IBM vtam/mcp option)
NCCF         Network communications control facility
NCC          National coordinating center (national emergency)
NC           CNCC link (SPSCS) INTER/TRA blocal 1-26
NCC          Network control center
NCC          Notify corrupted CRC (in EOC)
NCDAFTA      NCD denied after answer
NCDAFTA      Network call denial (NCD) denied after answer
NCDBEFA      NCD denied before answer
NCDBLKD      NCD returned blocked
NCDCCBL      NCD code control blocked
NCDDBOV      NCD data base overload
NCDDBOV      NCD database overload
NCDDENY      NCD deny received
NCDDSBL      NCD direct signaling blocked
NCD          Network call denial
NCDNOXL      NCD returned no translation
NCDOVLD      NCD returned overload
NCDUNEQ      NCD returned unequipped
NCH          Noch
NCI          Network channel interface
NCI          No card issue
NCLK         Network clock
NCLS         Non-capitalized lease system
NCMASTER     No circuit master
NC           Network channel
NC           No circuit
NCOO         Network central office operations
NCOSC        Network clock 2 oscillator
NCOS         Dms 100 class of service
NCOSS        Network communication and operations support system
NCP          National control point
NCP          Network control point
NCP          Network control point (in a SDN)
NCP          Network control program (IBM3725 software)
NCRPAB       Network cost results plan
NCR-         Sclrnetwork completion report-system called line report system
NCS          National communications system
NCS          National communicatons system
NCSPC        Non-conforming stored program control
NCT (CP)     Network control and timing call processing
NCTE         Digital network channel equipment
NCTE         Network channel terminating equipment
NCTE         Network channel terminating equipment (FCC NT1)
NCT LINKS    Network control and timing links
NCTLNK       Network control and timing link
NCT          Network control and timing
NCU          Network control unit
NDA          Network data analyzer
NDA          Network delivery access
NDBS         Network data base system
NDCC         Network data collection center
NDC          National destination code (i.e. area code)
NDC          Network data collection
NDC          Node data collection
NDIS         National dial-it services
ND           Network data line INTER/TRA blocal 1-26
NDPCC        Network data processing coordination center
NDRAS        Network distribution resource administration system
NDS/ANN      Announcement system - System/36
NDS/BMR      Bmrbudget morning report - System 36
NDS/CONAD    Conadcontract administration system - System 36
NDS/FLEXNDS  Flexible reporting
NDS/FORMS    Mechanized forms - System 36
NDS/MT       Mechanized tool interface - System 36
NDS          Network data system
NDS          Network distribution services
NDS/PDB      Personnel database - System 36
NDS-TIDE     Network data system-traffic information distributor and
NDU          Network data unit
NEAS         Non-optional extended area service
NEBE         Near end block error (IOM2 monitor message)
NEBS         Network equipment-building system
NEBS         Network equlpment-building system
NEBS         New equipment-building system
NECA         National exchange carrier association
NECC         National emergency coordination center (bellcore)
NEG          Negative
NE           Near end
NE           Network element
NE           Network elements
NEON         Nonmanagement employee opportunity network
NERC         National emergency relocation center
NESAC        National electronic switching assistance center
NESC         National electric safety code
N            Estimated time to complete this ticket.
NET          (ec) european standards of telecommunication
NETPARS      Network performance analysis reporting system (IBM Vtam)
NETPRT       Netprt
NETS         Nationwide emergency telecommunications system
NETTIMS      Nettims
NETWORK      Sidethe segment of the time slot interchanger (TSI) that is
NEXT         Near end crosstalk
NEXT         Near end cross (x) talk
NEXT         Node exhaust tool system
NFID         Non-fielded id
NFM          Network force management
NFS          Network file system
NFT          Network file transfer
NGF          Number group frame
NGF          Number group frame for 5 Cross Bar
NG           No good
NHLS         Next higher level support
NHR          Non hierarchial routing
NHR          Not hard to reach
NID          Network in dialing
NID          Network information database
NI/NC        Network interface/network channel
NI           Network interface
NIPA         Net income and productivity analysis
NIP          Nucleus initialization program
NIRS         National yellow pages services invoice receiving system
NIS(FLEXCOM) Network interface system - OPS/INE
NIS          Operation system-intelligent network elements
NKP          No key pulse
NKP          No key pulse (MDII)
NLDM         Network logical data manager (IBM VTAM option)
NLD          Nonlinear distortion
NLD-SN       Nonlinear distortion signal/noise
NL-PG        Line number page
NLP          Network layer protocol
NMA          Network management applique
NMA          Network monitoring and analysis
NMAT         Nonmanagement attendance tracking system
NMB          Network management busy (NTI)
NMC          Network management center
NMC          Network mondule controller (NTI)
NMDT         Network management display terminal (AT&T)
NMMPEN       Network maintenance management planing
NM           Network maintenance
NM           Network management
NM           Network management.
NM           Network module
NMOS         Network management operations support
NMPR         Network management printer (AT&T)
NMS          Network management services
NMS          Network management system
NNNN         Four digit number
NNN          Three digit number
N            No corrective action
NN           Two digit number
NNX          Central office code designating the customer exchange
NNX          Network numbering exchange
NNX          Telephone exchange code
NOC          National operations center at Bedminister N.J.
NOC          Network operations center
NOC          Normalized office code
NOCS         Network operations center system
NODAL        Network operations forum
NOD          Network out dialing
NOE          Number of oes to be assigned
NOL          Nac service order listing
NOMAD        No-op instruction
NO           Number
NOPS         Network operations plan system
NORAD        North american air defense command
NORGEN       Network operation report generating
NORGEN       Network operations report generator
NORGEN       Network operations report generator system
NORM         Normal
NORM         Return to normal (IOM2 monitor command/message)
NOR/TADS     North region/testing and development system
NOS          Network operating system
NOTIS        Network operations trouble information system
NOW          Network optical warehouse
NPA          Area code and exchange number
NPA          Network peformance analyzer (IBM)
NPA          No power alarm
NPA          Numbering plan area (area code)
NPAP         Nonmangement performance appraisal plan
NPC          Network processor circuit
NPC          No parameter choices
NPDA         Network problem determination applicator (IBM)
NPH          Network protocol handler
NPM          Network performance monitoring system
NP           Non-published
NPSI         Ncp packet switching interface
NPS          Network planning system
NPUMP        Normal pump
NPV          Net present value
NQ           Telegraph customized-service code for LATA access
NRAS         Nova/rider awards system
NRC          Non-recurring charge
NRG          Number of rings
NRM          Normalizing ccs value
NRM          Normal response mode (hscx)
NR           No response.
N(R)         (NR) receive sequence number
NRODD        Non-redundant ODD
NRRI         National regulatory research institute data
NRRT         Non-reroutable traffic
NRS          Network routing system (MBT)
NRT          No response while in test mode.
NRZC         Nrz change
NRZI         Nrz inverted
NRZM         Nrz mark
NRZ          Non return to zero
NSACGCOMP    NS SCP ACG component
NSAC         Network service administration center
NSA          National security agency
NSBADRESP    NS SCP response message with invalid data
NSCMP        Network service center multi (dddcservice bureau)
NSC          Network service center
NSCS         Network service center system
NSDB/IA      Network and service data base/interface administration
NSD          No start dial
NSD          Number summary display
NSEC         Network switching engineering center
NSE          Network switching engineering
NSE          Noise
NSEP         National security emergency preparedness
NSFNET       National science foundation network
NSN          Network services node
NSNONRTEMSG  NS reject message
N(S)         (NS) transmit sequence number
NSPEC        Node spec file
NSPMP        Network service performance measurement plan
NSPMP        Network switching performance measurement plan
NSP          Network service part (SS7: SCCP+MTP)
NSP          Non sent paid (coin)
NSPRR        Network switching performance results report
NSQRYFAIL    NS query fail
NSSD         Network switched services district
NSSNCOMP     NS SCP response message with a send notification
NSSNCOMP     NS SCP response message with a send notification received at the switch
NSS          Network support system
NSs          Network system (i.e. DACS; SDACSL CDACSL OSU; CSU... etc)
NSTAC        National security telecommunications advisory committee
NStA         (Ger) PBX
NSTNMSG      NS termination notification message sent from the switch to the SCP
NSTS         Network services test system
NSU          Network support utilities
NT01         Network frame unable to switch off line after fault detection
NT02         Network path trouble trunk to line - 1AESS network trouble
NT03         Network path trouble line to line - 1AESS network trouble
NT04         Network path trouble trunk to trunk - 1AESS network trouble
NT06         Hourly report of network frames made busy - 1AESS network trouble
